iso_alpha_3,region_name_en,planetariums_count,population,planetariums_per_million,gdp_per_capita_usd,education_expected_years,population_with_tertiary_percent,region_patents_2023,region_patents_per_million,region_patents_per_planetarium,culture_expenditure_per_capita_usd,culture_expenditure_total_usd,culture_expenditure_per_planetarium_usd
ISR,Israel,2,9849000.0,0.2030663011473246,54176.6844383302,14.93416023,37.0,,,,52.24,514511760.0,257255880.0
URY,Uruguay,1,3388081.0,0.2951523295930646,23906.5133029408,17.4839592,,,,,,,
ARM,Armenia,1,2964300.0,0.3373477718179671,8500.60522486719,14.3838501,,,,,,,
BLR,Belarus,1,9178298.0,0.108952662029496,8316.64776291533,13.71881008,,,,,71.03,651934506.94,651934506.94
BIH,Bosnia and Herzegovina,1,3185073.0,0.3139645464954806,8957.37294188215,13.16394043,,,,,52.63,167630391.99,167630391.99
TUN,Tunisia,1,12200431.0,0.0819643174900952,4350.3717971875,14.67349856,,,,,,,
CUB,Cuba,1,11019931.0,0.0907446698168981,9605.26125067263,13.87884045,,,,,,,
DNK,Denmark,1,5946952.0,0.168153366632184,71851.7562131368,18.70401001,55.0,,,,217.99,1296376066.48,1296376066.48
EST,Estonia,1,1370286.0,0.7297746601804296,31170.0915091887,15.96786022,35.0,,,,,,
PSE,"Palestine, State of",1,5165775.0,0.1935817955679448,2592.30591217647,,,,,,,,
GTM,Guatemala,1,18124838.0,0.0551729069247405,6150.02597767851,10.67763042,,,,,,,
NOR,Norway,1,5519594.0,0.1811727456765842,86809.7246897431,18.79285049,59.0,,,,23.35,128882519.9,128882519.9
SVN,Slovenia,1,2120461.0,0.4715955634175776,34089.3527652778,17.47717094,48.0,,,,,,
IRQ,Iraq,1,45074049.0,0.0221857148888487,6073.61032342708,12.35940135,,,,,,,
SAU,Saudi Arabia,1,33702731.0,0.0296711859937997,35057.2252306969,16.94943047,,,,,,,
KGZ,Kyrgyzstan,1,7099750.0,0.1408500299306313,2419.26553574523,,,,,,,,
