date,ARTIFICIAL_INTELLIGENCE_count,ARTIFICIAL_INTELLIGENCE_total_count,ARTIFICIAL_INTELLIGENCE_ratio,ARTIFICIAL_INTELLIGENCE_normalized,AUGMENTED_REALITY_count,AUGMENTED_REALITY_total_count,AUGMENTED_REALITY_ratio,AUGMENTED_REALITY_normalized,DOG_count,DOG_total_count,DOG_ratio,DOG_normalized,FULLDOME_count,FULLDOME_total_count,FULLDOME_ratio,FULLDOME_normalized,IMMERSIVE_EXPERIENCE_count,IMMERSIVE_EXPERIENCE_total_count,IMMERSIVE_EXPERIENCE_ratio,IMMERSIVE_EXPERIENCE_normalized,IMMERSIVE_count,IMMERSIVE_total_count,IMMERSIVE_ratio,IMMERSIVE_normalized,TELEVISION_count,TELEVISION_total_count,TELEVISION_ratio,TELEVISION_normalized,VR_count,VR_total_count,VR_ratio,VR_normalized,IMMERSIEVE_MARKETING_count,IMMERSIEVE_MARKETING_total_count,IMMERSIEVE_MARKETING_ratio,IMMERSIEVE_MARKETING_normalized,IMMERSIVE_ARCHITECTURE_count,IMMERSIVE_ARCHITECTURE_total_count,IMMERSIVE_ARCHITECTURE_ratio,IMMERSIVE_ARCHITECTURE_normalized,IMMERSIVE_CONTENT_count,IMMERSIVE_CONTENT_total_count,IMMERSIVE_CONTENT_ratio,IMMERSIVE_CONTENT_normalized,IMMERSIVE_EDUCATION_count,IMMERSIVE_EDUCATION_total_count,IMMERSIVE_EDUCATION_ratio,IMMERSIVE_EDUCATION_normalized,IMMERSIVE_LEARNING_count,IMMERSIVE_LEARNING_total_count,IMMERSIVE_LEARNING_ratio,IMMERSIVE_LEARNING_normalized,IMMERSIVE_STORYTELLING_count,IMMERSIVE_STORYTELLING_total_count,IMMERSIVE_STORYTELLING_ratio,IMMERSIVE_STORYTELLING_normalized,IMMERSIVE_TRAINING_count,IMMERSIVE_TRAINING_total_count,IMMERSIVE_TRAINING_ratio,IMMERSIVE_TRAINING_normalized
2013-11-29,3,6977,0.0004299842339114,0.0429984233911423,1,6977,0.0001433280779704,0.0143328077970474,63,6977,0.0090296689121398,0.9029668912139888,1,6977,0.0001433280779704,0.0143328077970474,0,6977,0.0,0.0,1,6977,0.0001433280779704,0.0143328077970474,201,6977,0.0288089436720653,2.880894367206536,5,6977,0.0007166403898523,0.0716640389852372,0,6977,0.0,0.0,0,6977,0.0,0.0,0,6977,0.0,0.0,0,6977,0.0,0.0,0,6977,0.0,0.0,0,6977,0.0,0.0,0,6977,0.0,0.0
2013-11-30,2,4906,0.0004076640847941,0.0407664084794129,0,4906,0.0,0.0,33,4906,0.0067264573991031,0.672645739910314,0,4906,0.0,0.0,0,4906,0.0,0.0,0,4906,0.0,0.0,91,4906,0.0185487158581329,1.8548715858132896,4,4906,0.0008153281695882,0.0815328169588259,0,4906,0.0,0.0,0,4906,0.0,0.0,0,4906,0.0,0.0,0,4906,0.0,0.0,0,4906,0.0,0.0,0,4906,0.0,0.0,0,4906,0.0,0.0
2013-12-01,0,4383,0.0,0.0,0,4383,0.0,0.0,45,4383,0.0102669404517453,1.026694045174538,0,4383,0.0,0.0,0,4383,0.0,0.0,0,4383,0.0,0.0,123,4383,0.028062970568104,2.806297056810404,2,4383,0.000456308464522,0.0456308464522016,0,4383,0.0,0.0,0,4383,0.0,0.0,0,4383,0.0,0.0,0,4383,0.0,0.0,0,4383,0.0,0.0,0,4383,0.0,0.0,0,4383,0.0,0.0
2013-12-02,1,7550,0.0001324503311258,0.0132450331125827,2,7550,0.0002649006622516,0.0264900662251655,106,7550,0.0140397350993377,1.403973509933775,1,7550,0.0001324503311258,0.0132450331125827,0,7550,0.0,0.0,1,7550,0.0001324503311258,0.0132450331125827,228,7550,0.0301986754966887,3.0198675496688745,4,7550,0.0005298013245033,0.0529801324503311,0,7550,0.0,0.0,0,7550,0.0,0.0,0,7550,0.0,0.0,0,7550,0.0,0.0,0,7550,0.0,0.0,0,7550,0.0,0.0,0,7550,0.0,0.0
2013-12-03,4,8256,0.000484496124031,0.0484496124031007,1,8256,0.0001211240310077,0.0121124031007751,93,8256,0.0112645348837209,1.126453488372093,4,8256,0.000484496124031,0.0484496124031007,0,8256,0.0,0.0,4,8256,0.000484496124031,0.0484496124031007,193,8256,0.0233769379844961,2.3376937984496124,6,8256,0.0007267441860465,0.0726744186046511,0,8256,0.0,0.0,0,8256,0.0,0.0,0,8256,0.0,0.0,0,8256,0.0,0.0,0,8256,0.0,0.0,0,8256,0.0,0.0,0,8256,0.0,0.0
2013-12-04,9,8244,0.0010917030567685,0.1091703056768558,1,8244,0.0001213003396409,0.012130033964095,120,8244,0.0145560407569141,1.455604075691412,5,8244,0.0006065016982047,0.0606501698204754,1,8244,0.0001213003396409,0.012130033964095,5,8244,0.0006065016982047,0.0606501698204754,254,8244,0.0308102862688015,3.081028626880155,6,8244,0.0007278020378457,0.0727802037845706,0,8244,0.0,0.0,0,8244,0.0,0.0,0,8244,0.0,0.0,0,8244,0.0,0.0,0,8244,0.0,0.0,0,8244,0.0,0.0,0,8244,0.0,0.0
2013-12-05,1,7975,0.0001253918495297,0.012539184952978,2,7975,0.0002507836990595,0.0250783699059561,95,7975,0.0119122257053291,1.1912225705329154,0,7975,0.0,0.0,0,7975,0.0,0.0,0,7975,0.0,0.0,246,7975,0.030846394984326,3.084639498432602,4,7975,0.0005015673981191,0.0501567398119122,0,7975,0.0,0.0,0,7975,0.0,0.0,0,7975,0.0,0.0,0,7975,0.0,0.0,0,7975,0.0,0.0,0,7975,0.0,0.0,0,7975,0.0,0.0
2013-12-06,8,7856,0.0010183299389002,0.1018329938900203,3,7856,0.0003818737270875,0.0381873727087576,82,7856,0.010437881873727,1.0437881873727086,6,7856,0.0007637474541751,0.0763747454175152,0,7856,0.0,0.0,6,7856,0.0007637474541751,0.0763747454175152,233,7856,0.0296588594704684,2.9658859470468437,2,7856,0.000254582484725,0.025458248472505,0,7856,0.0,0.0,0,7856,0.0,0.0,0,7856,0.0,0.0,0,7856,0.0,0.0,0,7856,0.0,0.0,0,7856,0.0,0.0,0,7856,0.0,0.0
2013-12-07,1,4525,0.0002209944751381,0.0220994475138121,1,4525,0.0002209944751381,0.0220994475138121,37,4525,0.0081767955801104,0.8176795580110496,1,4525,0.0002209944751381,0.0220994475138121,0,4525,0.0,0.0,1,4525,0.0002209944751381,0.0220994475138121,117,4525,0.0258563535911602,2.585635359116022,3,4525,0.0006629834254143,0.0662983425414364,0,4525,0.0,0.0,0,4525,0.0,0.0,0,4525,0.0,0.0,0,4525,0.0,0.0,0,4525,0.0,0.0,0,4525,0.0,0.0,0,4525,0.0,0.0
2013-12-08,2,4583,0.000436395374209,0.0436395374209033,0,4583,0.0,0.0,56,4583,0.0122190704778529,1.2219070477852934,2,4583,0.000436395374209,0.0436395374209033,0,4583,0.0,0.0,2,4583,0.000436395374209,0.0436395374209033,121,4583,0.0264019201396465,2.640192013964652,2,4583,0.000436395374209,0.0436395374209033,0,4583,0.0,0.0,0,4583,0.0,0.0,0,4583,0.0,0.0,0,4583,0.0,0.0,0,4583,0.0,0.0,0,4583,0.0,0.0,0,4583,0.0,0.0
