date;count;total_count;ratio
2008-08-28;0;1542;0
2008-08-29;0;1419;0
2008-08-30;0;687;0
2008-08-31;0;723;0
2008-09-01;0;1228;0
2008-09-02;0;1498;0
2008-09-03;0;1464;0
2008-09-04;0;1640;0
2008-09-05;0;1490;0
2008-09-06;0;691;0
2008-09-07;0;728;0
2008-09-08;0;802;0
2008-09-09;0;475;0
2008-09-10;0;552;0
2008-09-11;0;500;0
2008-09-12;0;634;0
2008-09-13;0;254;0
2008-09-14;0;217;0
2008-09-15;0;753;0
2008-09-16;0;992;0
2008-09-17;0;1566;0
2008-09-18;0;1674;0
2008-09-19;1;1506;0.0006640106241699867
2008-09-20;0;572;0
2008-09-21;0;629;0
2008-09-22;0;1558;0
2008-09-23;0;1589;0
2008-09-24;0;1694;0
2008-09-25;0;1724;0
2008-09-26;0;1706;0
2008-09-27;0;785;0
2008-09-28;0;786;0
2008-09-29;0;1540;0
2008-09-30;0;1650;0
2008-10-01;0;1921;0
2008-10-02;0;2004;0
2008-10-03;0;1904;0
2008-10-04;0;773;0
2008-10-05;0;800;0
2008-10-06;0;1697;0
2008-10-07;0;1941;0
2008-10-08;0;1870;0
2008-10-09;0;1968;0
2008-10-10;0;1831;0
2008-10-11;0;862;0
2008-10-12;0;923;0
2008-10-13;0;1789;0
2008-10-14;0;1875;0
2008-10-15;0;2006;0
2008-10-16;0;1911;0
2008-10-17;0;2019;0
2008-10-18;0;939;0
2008-10-19;0;934;0
2008-10-20;0;1588;0
2008-10-21;0;1763;0
2008-10-22;0;1069;0
2008-10-23;0;1617;0
2008-10-24;0;1904;0
2008-10-25;0;928;0
2008-10-26;0;984;0
2008-10-27;0;2054;0
2008-10-28;0;1855;0
2008-10-29;0;1975;0
2008-10-30;0;2059;0
2008-10-31;0;2130;0
2008-11-01;0;979;0
2008-11-02;0;959;0
2008-11-03;0;1979;0
2008-11-04;0;2252;0
2008-11-05;0;2150;0
2008-11-06;0;2057;0
2008-11-07;0;1951;0
2008-11-08;0;903;0
2008-11-09;0;953;0
2008-11-10;0;2051;0
2008-11-11;0;1891;0
2008-11-12;0;1936;0
2008-11-13;0;1980;0
2008-11-14;0;1903;0
2008-11-15;0;884;0
2008-11-16;0;886;0
2008-11-17;0;2117;0
2008-11-18;0;2042;0
2008-11-19;0;2115;0
2008-11-20;0;1986;0
2008-11-21;0;2003;0
2008-11-22;0;893;0
2008-11-23;0;908;0
2008-11-24;0;2542;0
2008-11-25;0;1765;0
2008-11-26;0;1676;0
2008-11-27;0;1272;0
2008-11-28;0;1400;0
2008-11-29;0;913;0
2008-11-30;0;994;0
2008-12-01;0;2058;0
2008-12-02;1;2018;0.0004955401387512388
2008-12-03;0;2005;0
2008-12-04;0;1882;0
2008-12-05;0;1945;0
2008-12-06;0;1005;0
2008-12-07;0;1084;0
2008-12-08;0;2086;0
2008-12-09;0;2075;0
2008-12-10;0;1796;0
2008-12-11;0;2100;0
2008-12-12;0;1815;0
2008-12-13;0;838;0
2008-12-14;0;1023;0
2008-12-15;0;2000;0
2008-12-16;0;1696;0
2008-12-17;0;1091;0
2008-12-18;0;1610;0
2008-12-19;0;2058;0
2008-12-20;0;974;0
2008-12-21;0;985;0
2008-12-22;0;1795;0
2008-12-23;0;1713;0
2008-12-24;0;1198;0
2008-12-25;0;696;0
2008-12-26;0;1027;0
2008-12-27;0;738;0
2008-12-28;0;873;0
2008-12-29;0;1515;0
2008-12-30;0;1473;0
2008-12-31;0;1457;0
2009-01-01;0;1066;0
2009-01-02;0;1428;0
2009-01-03;0;897;0
2009-01-04;0;957;0
2009-01-05;0;1821;0
2009-01-06;0;1580;0
2009-01-07;0;1230;0
2009-01-08;0;1813;0
2009-01-09;0;973;0
2009-01-10;0;398;0
2009-01-11;0;493;0
2009-01-12;2;1081;0.0018501387604070306
2009-01-13;0;1753;0
2009-01-14;0;2060;0
2009-01-15;0;2093;0
2009-01-16;0;2027;0
