date;count;total_count;ratio
2008-08-08;1;1422;0.0007032348804500703
2008-08-09;0;719;0
2008-08-10;0;692;0
2008-08-11;1;1371;0.0007293946024799417
2008-08-12;1;1312;0.0007621951219512195
2008-08-13;0;1474;0
2008-08-14;2;1306;0.0015313935681470138
2008-08-15;0;1315;0
2008-08-16;0;593;0
2008-08-17;1;627;0.001594896331738437
2008-08-18;0;1415;0
2008-08-19;0;1379;0
2008-08-20;0;1520;0
2008-08-21;0;1501;0
2008-08-22;0;1331;0
2008-08-23;0;417;0
2008-08-24;2;464;0.004310344827586207
2008-08-25;0;1284;0
2008-08-26;0;1578;0
2008-08-27;0;1560;0
2008-08-28;0;1542;0
2008-08-29;0;1419;0
2008-08-30;0;687;0
2008-08-31;0;723;0
2008-09-01;0;1228;0
2008-09-02;0;1498;0
2008-09-03;0;1464;0
2008-09-04;0;1640;0
2008-09-05;1;1490;0.0006711409395973154
2008-09-06;0;691;0
2008-09-07;0;728;0
2008-09-08;0;802;0
2008-09-09;0;475;0
2008-09-10;0;552;0
2008-09-11;0;500;0
2008-09-12;4;634;0.006309148264984227
2008-09-13;1;254;0.003937007874015748
2008-09-14;0;217;0
2008-09-15;1;753;0.0013280212483399733
2008-09-16;0;992;0
2008-09-17;0;1566;0
2008-09-18;3;1674;0.0017921146953405018
2008-09-19;0;1506;0
2008-09-20;0;572;0
2008-09-21;0;629;0
2008-09-22;0;1558;0
2008-09-23;2;1589;0.0012586532410320957
2008-09-24;0;1694;0
2008-09-25;1;1724;0.000580046403712297
2008-09-26;0;1706;0
2008-09-27;0;785;0
2008-09-28;0;786;0
2008-09-29;0;1540;0
2008-09-30;0;1650;0
2008-10-01;1;1921;0.0005205622071837585
2008-10-02;0;2004;0
2008-10-03;0;1904;0
2008-10-04;1;773;0.00129366106080207
2008-10-05;0;800;0
2008-10-06;0;1697;0
2008-10-07;0;1941;0
2008-10-08;0;1870;0
2008-10-09;1;1968;0.0005081300813008131
2008-10-10;1;1831;0.0005461496450027307
2008-10-11;1;862;0.001160092807424594
2008-10-12;1;923;0.0010834236186348862
2008-10-13;2;1789;0.0011179429849077697
2008-10-14;2;1875;0.0010666666666666667
2008-10-15;0;2006;0
2008-10-16;1;1911;0.0005232862375719519
2008-10-17;0;2019;0
2008-10-18;0;939;0
2008-10-19;1;934;0.0010706638115631692
2008-10-20;0;1588;0
2008-10-21;0;1763;0
2008-10-22;0;1069;0
2008-10-23;1;1617;0.0006184291898577613
2008-10-24;2;1904;0.0010504201680672268
2008-10-25;0;928;0
2008-10-26;0;984;0
2008-10-27;1;2054;0.0004868549172346641
2008-10-28;0;1855;0
2008-10-29;0;1975;0
2008-10-30;0;2059;0
2008-10-31;0;2130;0
2008-11-01;0;979;0
2008-11-02;1;959;0.0010427528675703858
2008-11-03;0;1979;0
2008-11-04;1;2252;0.0004440497335701599
2008-11-05;1;2150;0.00046511627906976747
2008-11-06;1;2057;0.0004861448711716091
2008-11-07;0;1951;0
2008-11-08;0;903;0
2008-11-09;1;953;0.001049317943336831
2008-11-10;3;2051;0.0014627011214041932
2008-11-11;0;1891;0
2008-11-12;1;1936;0.0005165289256198347
2008-11-13;0;1980;0
2008-11-14;3;1903;0.0015764582238570678
2008-11-15;0;884;0
2008-11-16;0;886;0
2008-11-17;2;2117;0.000944733112895607
2008-11-18;0;2042;0
2008-11-19;1;2115;0.00047281323877068556
2008-11-20;2;1986;0.0010070493454179255
2008-11-21;1;2003;0.0004992511233150275
2008-11-22;2;893;0.0022396416573348264
2008-11-23;0;908;0
2008-11-24;1;2542;0.0003933910306845004
2008-11-25;0;1765;0
2008-11-26;0;1676;0
2008-11-27;0;1272;0
2008-11-28;0;1400;0
2008-11-29;0;913;0
2008-11-30;1;994;0.001006036217303823
2008-12-01;3;2058;0.0014577259475218659
2008-12-02;0;2018;0
